chain,mall_id,store_name_raw,store_name,brand_key,brand_canonical,category,category_std,category_source,store_format,floor,floor_std,floor_level,building,phone,phone_e164,source,scraped_at,dq_flags
araneta,ali-mall,7-Eleven,7-Eleven,7eleven,7eleven,,groceries,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,8a Performance,8a Performance,8a performance,8a performance,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,A & B Textile,A & B Textile,a & b textile,a & b textile,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Adc Herrero General Merchandise,Adc Herrero General Merchandise,adc herrero general merchandise,adc herrero general merchandise,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Afficionado Germany,Afficionado Germany,afficionado germany,afficionado germany,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Alberto,Alberto,alberto,alberto,,fashion,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Ancel's Gadget & Accessories Shop,Ancel's Gadget & Accessories Shop,ancels gadget & accessories shop,ancels gadget & accessories shop,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Antepara247,Antepara247,antepara247,antepara247,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Automatic Centre,Automatic Centre,automatic centre,automatic centre,,electronics,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Bavin,Bavin,bavin,bavin,,electronics,propagated,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,floor_level_unresolved
araneta,ali-mall,Bench,Bench,bench,bench,,fashion,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Bench Body,Bench Body,bench body,bench body,,unknown,none,standard,GF,Ground,0,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Bisen,Bisen,bisen,bisen,,electronics,propagated,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,floor_level_unresolved
araneta,ali-mall,Blue Magic,Blue Magic,blue magic,blue magic,,specialty,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,BNY,BNY,bny,bny,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Brilliant Cut Jewelry Shop,Brilliant Cut Jewelry Shop,brilliant cut jewelry shop,brilliant cut jewelry shop,,unknown,none,standard,Level 2,Level 2,2,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Broadway Gems,Broadway Gems,broadway gems,broadway gems,,fashion,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,BYD (Soon To Open),BYD,byd,byd,,unknown,none,standard,LGF,Lower Ground,-1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,CLN,CLN,cln,cln,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Dion & Mary,Dion & Mary,dion & mary,dion & mary,,unknown,none,standard,GF,Ground,0,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Executive Optical,Executive Optical,executive optical,executive optical,,health_beauty,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Gadgetcore Cellphone & Accessories Shop,Gadgetcore Cellphone & Accessories Shop,gadgetcore cellphone & accessories shop,gadgetcore cellphone & accessories shop,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Giordano,Giordano,giordano,giordano,,fashion,propagated,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,
araneta,ali-mall,GNB Collectibles Hangout,GNB Collectibles Hangout,gnb collectibles hangout,gnb collectibles hangout,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Guess?,Guess?,guess,guess,,fashion,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Guiller's Antiques & Collectibles,Guiller's Antiques & Collectibles,guillers antiques & collectibles,guillers antiques & collectibles,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Hahn Manila,Hahn Manila,hahn manila,hahn manila,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Handyman,Handyman,handyman,handyman,,home,propagated,standard,LGF,Lower Ground,-1,,,,araneta-html,2026-08-30,
araneta,ali-mall,Herbs Of The Earth,Herbs Of The Earth,herbs of the earth,herbs of the earth,,unknown,none,standard,GF,Ground,0,,,,araneta-html,2026-08-30,category_unmapped
araneta,ali-mall,Hush Puppies,Hush Puppies,hush puppies,hush puppies,,fashion,propagated,standard,GF,Ground,0,,,,araneta-html,2026-08-30,
araneta,ali-mall,Ian Darcy,Ian Darcy,ian darcy,ian darcy,,fashion,propagated,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,floor_level_unresolved
araneta,ali-mall,Ideal Vision Center,Ideal Vision Center,ideal vision center,ideal vision center,,health_beauty,propagated,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,
araneta,ali-mall,In-Time By Strapshop,In-Time By Strapshop,in time by strapshop,in time by strapshop,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Itel's Cellphone Trading,Itel's Cellphone Trading,itels cellphone trading,itels cellphone trading,,unknown,none,standard,Kiosk,Kiosk,,,,,araneta-html,2026-08-30,category_unmapped|floor_level_unresolved
araneta,ali-mall,Japanglish Vintage,Japanglish Vintage,japanglish vintage,japanglish vintage,,unknown,none,standard,UGF,Upper Ground,1,,,,araneta-html,2026-08-30,category_unmapped
