brand_key,chain,mall_id,mall_name,region
0402 coffee,robinsons,robinsons-north-tacloban,Robinsons North Tacloban,visayas
1,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
1 smile city dental center,ayala,ayala-fairview-mall,Fairview Terraces,metro-manila
1 smile city dental center,ayala,ayala-metropoint,Metro Point Mall,metro-manila
1 smile city dental center,filinvest,festival-mall,Festival Mall,metro-manila
10 by tsukemen,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
10 yen king,megaworld,eastwood-city-walk,Eastwood City Walk,metro-manila
10 yen king,robinsons,robinsons-antipolo,Robinsons Place Antipolo,metro-manila
10 yen king,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
10 yen king,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
102 izakaya,ayala,ayala-glorietta,Glorietta,metro-manila
10yenking,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
12 monkeys music hall & pub,ortigas,estancia,Estancia,metro-manila
121 grill and restaurant,megaworld,eastwood-city-walk,Eastwood City Walk,metro-manila
158 designers blvd,megaworld,eastwood-mall,Eastwood Mall,metro-manila
158 designers blvd,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
158 designers blvd,megaworld,newport-city,Newport City,metro-manila
158 designers boulevard,ayala,ayala-abreeza,Abreeza,mindanao
158 designers boulevard,ayala,ayala-harbor-point,Harbor Point,north-luzon
158 designers boulevard,ayala,ayala-marquee,MarQuee Mall,north-luzon
1624 noodle bar,ortigas,greenhills,Greenhills,metro-manila
18 days coffee,ayala,ayala-solenad,Ayala Malls Nuvali,south-luzon
1870 cookie cartel,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
1984 barbershop & laser studio,ayala,ayala-cloverleaf,Ayala Malls Cloverleaf,metro-manila
1984 barbershop & laser studio,ayala,ayala-harbor-point,Harbor Point,north-luzon
19th street coffee shop,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
1click internet shop,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
1st colonial grill,ayala,ayala-legazpi,Ayala Malls Legazpi,south-luzon
1st colonial grill,sm,sm-city-legazpi,SM City Legazpi,south-luzon
1st colonial grill,sm,sm-city-naga,SM City Naga,south-luzon
2 els toy mart,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
2 hands,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
2 hands,sm,sm-city-trece-martires,SM City Trece Martires,south-luzon
2 hands,sm,sm-city-valenzuela,SM City Valenzuela,metro-manila
2 hands massage,megaworld,eastwood-cyber-mall,Eastwood Cyber Mall,metro-manila
2 hands massage,megaworld,southwoods-mall,Southwoods Mall,south-luzon
2 hands massage,sm,sm-city-bicutan,SM City Bicutan,metro-manila
2 hands massage,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
2 hands massage,sm,sm-city-fairview,SM City Fairview,metro-manila
2 hands massage,sm,sm-city-manila,SM City Manila,metro-manila
2 hands massage,sm,sm-city-sto-tomas,SM City Sto. Tomas,south-luzon
205,ayala,ayala-bonifacio-high-street,Bonifacio High Street,metro-manila
220 taps n tiles,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
27c realty,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
2d samgyup saranghae,megaworld,festive-walk-parade,Festive Walk Parade,visayas
2go,ayala,ayala-abreeza,Abreeza,mindanao
2go,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
2go,ortigas,greenhills,Greenhills,metro-manila
2go,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
2go,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
2go,sm,sm-center-las-pinas,SM Center Las Piñas,metro-manila
2go,sm,sm-city-bacolod,SM City Bacolod,visayas
2go,sm,sm-city-baguio,SM City Baguio,north-luzon
2go,sm,sm-city-bicutan,SM City Bicutan,metro-manila
2go,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
2go,sm,sm-city-cebu,SM City Cebu,visayas
2go,sm,sm-city-dasmarinas,SM City Dasmariñas,south-luzon
2go,sm,sm-city-davao,SM City Davao,mindanao
2go,sm,sm-city-fairview,SM City Fairview,metro-manila
2go,sm,sm-city-iloilo,SM City Iloilo,visayas
2go,sm,sm-city-manila,SM City Manila,metro-manila
2go,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
2go,sm,sm-city-olongapo-central,SM City Olongapo Central,north-luzon
2go,sm,sm-city-santa-rosa,SM City Santa Rosa,south-luzon
2go,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
2go,sm,sm-city-tuguegarao,SM City Tuguegarao,north-luzon
2go,sm,sm-lanang,SM Lanang,mindanao
2go,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
