brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
watsons,4,22,4,1,11,2,38,96,2,37,217,10,True,True,WATSONS
potato corner,0,26,4,2,13,2,48,83,3,36,217,9,False,True,POTATO CORNER
jollibee,0,18,1,2,2,2,40,86,4,25,180,9,False,True,JOLLIBEE
samsung,0,21,2,2,7,2,29,84,0,26,173,8,False,True,SAMSUNG
bench,3,22,1,2,7,1,42,78,3,13,172,10,True,True,BENCH
penshoppe,2,19,2,2,4,1,40,85,3,5,163,10,True,True,PENSHOPPE
bdo,0,12,0,2,2,3,13,107,1,23,163,8,False,True,BANCO DE ORO
executive optical,3,17,2,1,3,2,28,78,2,18,154,10,True,True,EXECUTIVE OPTICAL
vivo,1,11,1,2,1,1,25,81,0,21,144,9,False,True,VIVO
kfc,0,15,0,2,7,0,23,71,2,24,144,7,False,True,KFC
mang inasal,0,9,1,1,3,1,30,67,2,26,140,9,False,True,MANG INASAL
famous belgian waffles,0,24,0,0,3,0,17,79,0,16,139,5,False,True,FAMOUS BELGIAN WAFFLES
kettle korn,0,12,2,1,1,0,28,74,0,14,132,7,False,True,KETTLE KORN
ian darcy,3,17,1,1,4,0,23,70,0,13,132,8,False,True,IAN DARCY
national bookstore,1,18,0,0,7,2,9,85,3,7,132,8,False,True,NATIONAL BOOKSTORE
aficionado,1,9,1,2,1,0,29,59,0,24,126,8,False,True,AFICIONADO
oppo,1,5,1,2,0,1,20,78,2,14,124,9,False,True,OPPO
goldilocks,0,9,1,2,4,1,26,48,3,29,123,9,False,True,GOLDILOCKS
dunkin,0,0,1,0,8,0,11,72,0,29,121,5,False,True,DUNKIN
chowking,0,12,1,1,1,0,26,60,4,16,121,8,False,True,CHOWKING
greenwich,0,10,2,1,0,0,25,65,3,11,117,7,False,True,GREENWICH
aquaflask,1,18,1,0,4,0,21,66,0,4,115,7,False,True,AQUAFLASK
octagon,0,14,1,0,3,2,20,73,1,0,114,7,False,True,OCTAGON
ace hardware,0,1,1,1,0,2,0,89,0,20,114,6,False,True,ACE HARDWARE
classic savory,0,8,1,1,2,2,17,73,0,8,112,8,False,True,CLASSIC SAVORY
gong cha,0,10,2,2,4,2,22,64,2,3,111,9,False,True,GONG CHA
ideal vision center,1,15,1,0,2,0,7,83,0,0,109,6,False,True,IDEAL VISION CENTER
regatta,1,12,2,0,6,1,21,66,0,0,109,7,False,True,REGATTA
huawei,0,14,0,1,2,0,19,69,1,3,109,7,False,True,HUAWEI
lbc express,0,2,2,0,2,0,6,89,1,0,102,6,False,True,LBC EXPRESS
siomai house,0,13,1,0,3,1,23,23,2,35,101,8,False,True,Siomai House
realme,1,3,1,1,1,0,20,71,0,2,100,8,False,True,REALME
zagu,0,7,1,0,2,0,22,46,1,21,100,7,False,True,ZAGU
lbc,0,20,0,2,6,1,34,5,2,30,100,8,False,True,LBC
miniso,1,3,1,0,2,2,3,71,0,15,98,8,False,True,MINISO
infinix,0,3,1,1,0,0,21,55,0,16,97,6,False,True,INFINIX
chatime,0,6,0,0,5,0,6,48,0,32,97,5,False,True,CHATIME
red ribbon,0,5,1,2,0,0,18,47,2,20,95,7,False,True,RED RIBBON
