chain,mall_id,store_name_raw,category,floor,building,phone,source,scraped_at
robinsons,opus,BPI,,Basement 1,,,robinsons-drupal,2026-08-31
robinsons,opus,SOUTHSTAR DRUG,,Basement 1,,,robinsons-drupal,2026-08-31
robinsons,opus,BAR OKU,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,BREADTALK,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,BREAKFAST AT ANTONIO'S,,Level 1,,Contact Number: 09088126620,robinsons-drupal,2026-08-31
robinsons,opus,ESTEE LAUDER,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,FIG & VINE,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,HOSHINO,,Level 1,,Contact Number: 09190891312,robinsons-drupal,2026-08-31
robinsons,opus,IL LUPINO TRATTORIA & WINE BAR,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,LARTIZAN,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,MAC,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,MLB,,Level 1,,Contact Number: 09194286605,robinsons-drupal,2026-08-31
robinsons,opus,NANYANG,,Level 1,,"Contact Number: 09538677959, 09535178024",robinsons-drupal,2026-08-31
robinsons,opus,PATCHI,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,PAUL,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,RED LOTUS,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,SINGLE ORIGIN,,Level 1,,Contact Number: 09541854316,robinsons-drupal,2026-08-31
robinsons,opus,ST. ALI,,Level 1,,Contact Number: 09175349357,robinsons-drupal,2026-08-31
robinsons,opus,TIM HO WAN,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,DEMPSEY,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,ST. ALI COFFEE,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,ANTHEM,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,MAISON MARGIELA,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,SIGNET,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,K&COMPANY,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,JO MALONE,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,SOME THAI,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,WILDFLOUR,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,STUDIO CEREMONIE,,Level 1,,,robinsons-drupal,2026-08-31
robinsons,opus,ARANAZ,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,BAR SHU,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,POPLIFE,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,BENCH,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,BRUNO'S BARBERS,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,FRESH,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,HAPPY SKIN (INSIDE MAISONETTE),,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,ILLY,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,KEY COFFEE KISSATEN,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,JINS,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,MARUGAME UDON,,Level 2,,Contact Number: 09178227509,robinsons-drupal,2026-08-31
robinsons,opus,R.A.F (INSIDE MAISONETTE),,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,RECESS (INSIDE MAISONETTE),,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,SOLE ACADEMY,,Level 2,,,robinsons-drupal,2026-08-31
robinsons,opus,SPATIO,,Level 2,,,robinsons-drupal,2026-08-31
