chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
ortigas,greenhills,906,658,"shop (532), dining (222), bank (15)",Greenhills,metro-manila,313
sm,sm-city-north-edsa,868,820,"dining (272), shopping (218), cyberzone (156)",SM City North Edsa,metro-manila,131
filinvest,festival-mall,784,737,"dining (122), health, beauty and wellness (101), dining / food (kiosk / carts) (93)",Festival Mall,metro-manila,267
sm,sm-city-fairview,739,703,"dining (224), shopping (183), cyberzone (120)",SM City Fairview,metro-manila,79
sm,sm-megamall,692,669,"shopping (224), dining (187), cyberzone (102)",SM Megamall,metro-manila,105
sm,sm-mall-of-asia,686,679,"dining (209), shopping (203), cyberzone (114)",SM Mall of Asia,metro-manila,91
robinsons,robinsons-manila,659,576,,Robinsons Place Manila,metro-manila,129
sm,sm-city-santa-rosa,537,403,"dining (146), shopping (103), undefined (100)",SM City Santa Rosa,south-luzon,33
sm,sm-city-pampanga,515,475,"dining (187), shopping (123), cyberzone (84)",SM City Pampanga,north-luzon,55
sm,sm-city-cebu,497,480,"shopping (143), dining (135), cyberzone (92)",SM City Cebu,visayas,60
ayala,ayala-market-market,495,438,"shop (250), dine (146), services (52)",Market! Market!,metro-manila,119
sm,sm-city-clark,434,431,"dining (161), shopping (110), cyberzone (71)",SM City Clark,north-luzon,49
robinsons,robinsons-magnolia,425,416,,Robinsons Magnolia,metro-manila,95
ayala,ayala-center-cebu,409,381,"shop (215), dine (117), services (38)",Ayala Center Cebu,visayas,64
robinsons,robinsons-galleria-ortigas,396,386,,Robinsons Galleria,metro-manila,90
ayala,ayala-glorietta,396,371,"shop (246), dine (80), services (38)",Glorietta,metro-manila,47
ayala,ayala-trinoma,391,366,"shop (221), dine (102), services (32)",Trinoma,metro-manila,29
sm,sm-seaside-city-cebu,376,373,"shopping (117), dining (116), cyberzone (42)",SM Seaside City Cebu,visayas,43
sm,sm-city-dasmarinas,361,354,"dining (116), shopping (101), cyberzone (53)",SM City Dasmariñas,south-luzon,20
sm,sm-city-davao,360,355,"dining (104), shopping (103), cyberzone (61)",SM City Davao,mindanao,55
ayala,ayala-manila-bay,357,339,"shop (181), dine (107), services (34)",Ayala Malls Manila Bay,metro-manila,32
sm,sm-city-baguio,354,349,"dining (136), shopping (101), cyberzone (45)",SM City Baguio,north-luzon,47
sm,sm-city-iloilo,352,342,"shopping (106), dining (104), cyberzone (59)",SM City Iloilo,visayas,50
sm,sm-southmall,345,342,"dining (109), shopping (94), cyberzone (49)",SM Southmall,metro-manila,21
sm,sm-city-bacolod,330,319,"shopping (106), dining (98), cyberzone (59)",SM City Bacolod,visayas,47
sm,sm-city-manila,314,311,"dining (107), shopping (68), cyberzone (48)",SM City Manila,metro-manila,21
robinsons,robinsons-antipolo,311,295,,Robinsons Place Antipolo,metro-manila,57
ayala,ayala-abreeza,307,286,"shop (165), dine (67), services (38)",Abreeza,mindanao,42
megaworld,venice-grand-canal-mall,304,286,"dine (121), shop (91), services (90)",Venice Grand Canal Mall,metro-manila,77
ortigas,estancia,301,243,"shop (134), dining (111), bank (5)",Estancia,metro-manila,83
sm,sm-city-sucat,298,298,"dining (109), shopping (54), cyberzone (52)",SM City Sucat,metro-manila,19
sm,sm-city-bicutan,290,287,"dining (124), shopping (47), cyberzone (45)",SM City Bicutan,metro-manila,12
sm,sm-city-san-lazaro,290,290,"dining (104), shopping (75), cyberzone (49)",SM City San Lazaro,metro-manila,11
sm,sm-city-bacoor,276,275,"dining (94), shopping (59), cyberzone (58)",SM City Bacoor,south-luzon,7
ayala,ayala-capitol-central,275,196,"shop (125), dine (90), services (27)",Ayala Malls Capitol Central,visayas,42
sm,sm-city-lipa,262,262,"dining (95), shopping (77), cyberzone (43)",SM City Lipa,south-luzon,12
sm,sm-city-cabanatuan,259,259,"dining (74), shopping (64), cyberzone (62)",SM City Cabanatuan,north-luzon,16
sm,sm-lanang,257,254,"dining (79), shopping (70), cyberzone (45)",SM Lanang,mindanao,36
ayala,ayala-up-town-center,253,219,"shop (108), dine (92), services (27)",U. P. Town Center,metro-manila,16
ayala,ayala-marquee,251,241,"shop (125), dine (73), services (32)",MarQuee Mall,north-luzon,30
robinsons,robinsons-tacloban,246,227,,Robinsons Place Tacloban,visayas,71
robinsons,robinsons-novaliches,245,219,,Robinsons Novaliches,metro-manila,112
sm,sm-city-marilao,242,240,"dining (86), shopping (55), cyberzone (52)",SM City Marilao,north-luzon,15
megaworld,uptown-mall,242,241,"shop (113), dine (91), services (38)",Uptown Mall,metro-manila,42
sm,sm-city-grand-central,240,240,"dining (99), shopping (49), cyberzone (43)",SM City Grand Central,metro-manila,10
sm,sm-city-batangas,236,236,"dining (79), shopping (63), cyberzone (46)",SM City Batangas,south-luzon,12
ayala,ayala-feliz,235,230,"shop (95), dine (86), services (30)",Ayala Malls Feliz,metro-manila,18
robinsons,robinsons-ilocos,232,221,,Robinsons Place Ilocos,north-luzon,63
