brand_key,display_name,chain,mall_id,mall_name,region
zyx katsumaki,Zyx Katsumaki,robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon
2go express,2go Express,filinvest,festival-mall,Festival Mall,metro-manila
2d samgyup saranghae,2D Samgyup Saranghae,megaworld,festive-walk-parade,Festive Walk Parade,visayas
27c realty,27C REALTY,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
220 taps n tiles,220 TAPS N' TILES,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
205,205,ayala,ayala-bonifacio-high-street,Bonifacio High Street,metro-manila
2 els toy mart,2 El's Toy Mart,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
1click internet shop,1CLICK INTERNET SHOP,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
zh&k mobile,ZH&K Mobile,waltermart,gapan,WalterMart Gapan,north-luzon
zero one story salon,Zero One Story Salon,megaworld,uptown-parade,Uptown Parade,metro-manila
zero degree,ZERO DEGREE,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
zenzest,Zenzest,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
zenway health and beauty shop,ZENWAY HEALTH AND BEAUTY SHOP,sm,sm-city-cagayan-de-oro,SM City CDO Uptown,mindanao
zentea,Zentea,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
zensuals beauty & nail lounge,Zensuals Beauty & Nail Lounge,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
zenith,Zenith,megaworld,eastwood-mall,Eastwood Mall,metro-manila
zencell telecom,ZENCELL TELECOM,sm,sm-city-novaliches,SM City Novaliches,metro-manila
gandang ricky reyes,GANDANG RICKY REYES,ayala,ayala-market-market,Market! Market!,metro-manila
gaming library,GAMING LIBRARY,ayala,ayala-greenbelt,Greenbelt,metro-manila
gamesite net cafe,GAMESITE NET CAFE,robinsons,robinsons-cainta,Robinsons Cainta,metro-manila
gamesite,Gamesite,filinvest,festival-mall,Festival Mall,metro-manila
gamequest,Gamequest,ortigas,greenhills,Greenhills,metro-manila
gameplace,The Gameplace,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
gamen core computer laptop repair services,GAMEN CORE COMPUTER LAPTOP REPAIR SERVICES,sm,sm-center-lemery,SM Center Lemery,south-luzon
gamen core,Gamen Core,waltermart,dasmarinas,WalterMart Dasmariñas,south-luzon
game source,Game Source,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
game site accessories,Game Site Accessories,filinvest,festival-mall,Festival Mall,metro-manila
zydnieland ferielle,ZYDNIELAND FERIELLE,sm,sm-city-dasmarinas,SM City Dasmariñas,south-luzon
zyberone service center,ZYBERONE SERVICE CENTER,sm,sm-city-fairview,SM City Fairview,metro-manila
zyberauto,ZYBERAUTO,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
zya & knox home furniture,ZYA & KNOX HOME FURNITURE,ayala,ayala-market-market,Market! Market!,metro-manila
zuriels gadget & accessories shop,Zuriel's Gadget & Accessories Shop,robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas
zu boh ti,ZU BOH TI,robinsons,robinsons-gapan,Robinsons Gapan,north-luzon
gaudencious lugaw to go,Gaudenciou's Lugaw To Go,robinsons,robinsons-tagum,Robinsons Place Tagum,mindanao
gatsu man,Gatsu-Man,megaworld,uptown-mall,Uptown Mall,metro-manila
gatchalian medical center,GATCHALIAN MEDICAL CENTER,sm,sm-center-ormoc,SM Center Ormoc,visayas
gat petshop,GAT Petshop,ortigas,tiendesitas,Tiendesitas,metro-manila
gashapon bandai official,GASHAPON BANDAI OFFICIAL,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
gasa,GASA,sm,sm-city-butuan,SM City Butuan,mindanao
garys thai massage,Gary's Thai Massage,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
garrys thai massage and spa,GARRYS THAI MASSAGE AND SPA,sm,sm-city-laoag,SM City Laoag,north-luzon
garnish,Garnish,robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas
garnet,GARNET,sm,sm-city-san-lazaro,SM City San Lazaro,metro-manila
garden wing cafe,Garden Wing Cafe,megaworld,newport-city,Newport City,metro-manila
garden in pares,Garden In Pares,waltermart,candelaria,WalterMart Candelaria,south-luzon
gaoc dental,GAOC Dental,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
ganso shabuwayganso gyukatsu,GANSO SHABUWAYGANSO GYUKATSU,sm,moa-square,MOA Square,metro-manila
gangji produced hongkong cafe,GANGJI PRODUCED HONGKONG CAFÉ,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
gang nam nail art studio,GANG-NAM NAIL ART STUDIO,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
galo dental,Galo Dental,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
