chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,lat,lon,geo_source,geo_precision,scraped_at
robinsons,opus,Opus Mall,metro-manila,"Opus, Bridgetowne Destination Estate, Quezon City, Philippines",,https://robinsonsmalls.com/mall-info/opus,mall,14.592911,121.081018,osm,exact,2026-09-01
robinsons,robinsons-cainta,Robinsons Cainta,metro-manila,"Ortigas Ave. Extension, Brgy. Sto. Domingo, Cainta, Rizal",,https://robinsonsmalls.com/mall-info/robinsons-cainta,mall,14.585855,121.11329,osm,exact,2026-09-01
robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila,"EDSA cor. Ortigas Avenue, Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-galleria-ortigas,mall,14.591119,121.05967,osm,exact,2026-09-01
robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila,"Aurora Blvd. corner Dona Hemady St., Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-magnolia,mall,14.61494,121.038057,osm,exact,2026-09-01
robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila,"Marcos Highway, Barangay Dela Paz, Pasig City",,https://robinsonsmalls.com/mall-info/robinsons-metro-east,mall,14.619455,121.10008,osm,exact,2026-09-01
robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila,"Brgy. Pasong Putik, Quirino Highway, Novaliches, Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-novaliches,mall,14.735787,121.056364,osm,exact,2026-09-01
robinsons,robinsons-otis,Robinsons Otis,metro-manila,"Brgy. 831 Zone 90 Dr. Paz Mendoza-Guanzon St. Paco, Manila",,https://robinsonsmalls.com/mall-info/robinsons-otis,mall,14.58727,120.99586,nominatim,address,2026-09-01
robinsons,robinsons-antipolo,Robinsons Place Antipolo,metro-manila,"Sumulong cor. Circumferential Road, Brgy. Dela Paz, Antipolo City",,https://robinsonsmalls.com/mall-info/robinsons-place-antipolo,mall,14.595296,121.172902,osm,exact,2026-09-01
robinsons,robinsons-las-pinas,Robinsons Place Las Pinas,metro-manila,"Alabang-Zapote Road, Las Piñas",,https://robinsonsmalls.com/mall-info/robinsons-place-las-pinas,mall,14.442978,120.998513,osm,exact,2026-09-01
robinsons,robinsons-manila,Robinsons Place Manila,metro-manila,"Pedro Gil cor. Adriatico Streets, Ermita, Manila",,https://robinsonsmalls.com/mall-info/robinsons-place-manila,mall,14.576442,120.983794,nominatim,exact,2026-09-01
robinsons,robinsons-malabon,Robinsons Town Mall Malabon,metro-manila,"#5 Governor Pascual Avenue corner Crispin Street, Tinajeros Malabon City",,https://robinsonsmalls.com/mall-info/robinsons-town-mall-malabon,mall,14.669205,120.966597,osm,exact,2026-09-01
robinsons,the-plaza,The Plaza Bagong Silang,metro-manila,,,https://vmd.robinsonsmalls.com/list-of-malls/metro-manila/the-plaza,mall,14.775296,121.045666,osm,exact,2026-09-01
