brand_key,raw_variants,clean_variants,listings,chains,examples
robinsons movieworld,28,2,38,1,ROBINSONS MOVIEWORLD | ROBINSONS MOVIEWORLD ( 063 ) 224-2822 | ROBINSONS MOVIEWORLD ( 0908-811-0150 ) | ROBINSONS MOVIEWORLD ( 0919-087-0827 ) | ROBINSONS MOVIEWORLD ( 0938-860-5351 ) | ROBINSONS MOVIEWORLD ( 0945-795-5202) | ROBINSONS MOVIEWORLD ( 0961-525-0003 ) | ROBINSONS MOVIEWORLD ( 0998-591-3227 )
potato corner,8,6,263,9,POTATO CORNER | POTATO CORNER (KIOSK) | POTATO CORNER+ | Potato Corner | Potato Corner (pixie Forest) | Potato Corner (timezone) | Potato Corner (x-site) | Potato Corner 9923186737
mcdonalds,8,5,84,9,MCDONALD'S | MCDONALDS | Mc Donald's | McDONALD'S | McDonald's | Mcdonald's | Mcdonald's 9686914110 | Mcdonald’s
bpi atm,8,8,27,4,BPI (ATM booth) (NEW) | BPI (ATM) | BPI (EXPRESS TELLER ATM) | BPI - ATM | BPI ATM | Bpi ( Atm – Alabang- Zapote ) | Bpi ( Atm – Bridgeway) | Bpi ( Atm – Parkway)
watsons,7,3,251,10,WATSON'S | WATSONS | WATSONS 0917-805-3732 | WATSONS 0995-011-1269 | Watsons | Watsons (east Wing) | Watsons 0923-744-0690
shakeys,7,2,98,8,SHAKEY'S | SHAKEY'S (032)505-5860 | SHAKEY'S 9278110353 | SHAKEYS | Shakey's | Shakeys | Shakey’s
levis,7,2,87,7,LEVI'S | LEVI'S (8805-2230) | LEVIS | LEVI’S | Levi's | Levi's 5216-563 | Levi’s
world of fun,7,2,55,4,WORLD OF FUN | WORLD OF FUN (OPEN) | WORLD OF FUN 9058818079 | WORLD OF FUN 9058818079 (OPEN) | World Of Fun | World of Fun | World of Fun 9063309735
scents co,7,3,34,4,"THE SCENTS CO | THE SCENTS CO. | THE SCENTS CO. 9973679659 | The Scents Co | The Scents Co. | The Scents Co. 9973679659 | The Scents, Co."
lots a pizza,7,5,9,6,LOT'S A PIZZA | LOTS A PIZZA | LOTS' A PIZZA | Lot's A Pizza | Lots A Pizza | Lots a Pizza | Lots' A Pizza 📲 0948-122-8792
samsung,6,1,176,8,SAMSUNG | SAMSUNG (OPEN) | Samsung | Samsung (TEMPORARILY CLOSED) | Samsung 5320034 | Samsung 8961-3056
ian darcy,6,1,133,8,IAN DARCY | IAN DARCY (NEW) | IAN DARCY 9176263352 | Ian Darcy | Ian Darcy 9176216444 | Ian Darcy 9230870741
gong cha,6,2,112,9,GONG CHA | GONG CHA (OPEN) | GONG CHA 0938-438-0315 | Gong Cha | Gong Cha 0906-175-3810 | Gong cha
